id,name,smiles,scaffold,split,mw,logp,psa,rings,measured
ESOL-0610,Methyl pentanoate,CCCC(=O)OCC,[acyclic],train,116.16,1.3496,26.3,0,-1.36
ESOL-0442,Lactose,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,C1CCC(OC2CCCOC2)OC1,train,342.297,-5.3972,189.53,2,-0.244
ESOL-0619,nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],[acyclic],train,227.085,-1.0201,157.11,0,-2.22
ESOL-0628,Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,O=C1CN=C(c2ccccc2)c2ccccc2N1,train,281.271,2.3843,84.6,3,-3.7960000000000003
ESOL-0184,Chloroacetonitrile,N#CCCl,[acyclic],train,75.498,0.7488,23.79,0,-0.092
ESOL-1081,"1,2-Dichlorotetrafluoroethane",FC(F)(Cl)C(F)(F)Cl,[acyclic],train,170.92,2.6496,0.0,0,-2.74
ESOL-0584,Coumachlor,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,O=c1oc2ccccc2cc1Cc1ccccc1,train,342.778,4.263,67.51,3,-5.8389999999999995
ESOL-0452,testosterone acetate,CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,train,330.468,4.45,43.37,4,-5.184
ESOL-0963,"2,4,6-PCB",Clc1ccc(-c2c(Cl)cccc2Cl)cc1,c1ccc(-c2ccccc2)cc1,train,257.547,5.3138,0.0,2,-6.14
ESOL-0766,phenanthridine,c1ccc2c(c1)cnc1ccccc12,c1ccc2c(c1)cnc1ccccc12,train,179.222,3.388,12.89,3,-2.78
ESOL-0820,Napthacene,c1ccc2cc3cc4ccccc4cc3cc2c1,c1ccc2cc3cc4ccccc4cc3cc2c1,train,228.294,5.1462,0.0,4,-8.6
ESOL-0455,2-Hexanol,CCCCC(C)O,[acyclic],train,102.177,1.5574,20.23,0,-0.89
ESOL-0744,2-Methylheptane,CCCCCC(C)C,[acyclic],train,114.232,3.2227,0.0,0,-5.08
ESOL-0245,2-Decanone,CCCCCCCCC(C)=O,[acyclic],train,156.269,3.326,17.07,0,-3.3
ESOL-0479,2-Methylpentane,CCCC(C)C,[acyclic],train,86.178,2.4425,0.0,0,-3.74
ESOL-0057,"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,[acyclic],train,128.259,3.4687,0.0,0,-5.05
ESOL-0520,"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,[acyclic],train,167.85,2.5954,0.0,0,-2.18
ESOL-0621,1-Chlorobutane,CCCCCl,[acyclic],train,92.569,2.0253,0.0,0,-2.03
ESOL-0216,"4,4'-PCB",Clc1ccc(-c2ccc(Cl)cc2)cc1,c1ccc(-c2ccccc2)cc1,train,223.102,4.6604,0.0,2,-6.56
ESOL-0812,1-Heptyne,C#CCCCCC,[acyclic],train,96.173,2.1999,0.0,0,-3.01
ESOL-0735,Nonane,CCCCCCCCC,[acyclic],train,128.259,3.7569,0.0,0,-5.88
ESOL-0214,eucalyptol,CC12CCC(CC1)C(C)(C)O2,C1CC2CCC1CO2,train,154.253,2.7441,9.23,3,-1.64
ESOL-0726,Fenarimol,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,c1ccc(C(c2ccccc2)c2cncnc2)cc1,train,331.202,4.0676,46.01,3,-4.38
ESOL-0897,2-Methyl-2-hexanol,CCCCC(C)(C)O,[acyclic],train,116.204,1.9475,20.23,0,-1.08
ESOL-1005,Benzo(e)pyrene,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,train,252.316,5.7372,0.0,5,-7.8
ESOL-0051,1-Octyne,C#CCCCCCC,[acyclic],train,110.2,2.59,0.0,0,-3.66
ESOL-0130,1-Bromoheptane,CCCCCCCBr,[acyclic],train,179.101,3.3517,0.0,0,-4.43
ESOL-0155,"1,3-Butadiene",C=CC=C,[acyclic],train,54.092,1.3584,0.0,0,-1.87
ESOL-1127,2-Methylbutane,CCC(C)C,[acyclic],train,72.151,2.0524,0.0,0,-3.18
ESOL-0377,"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,c1ccccc1,validation,163.003,2.699,20.23,1,-1.3
ESOL-0157,"5,6,7,8-tetrahydro-2-naphthol",Oc1ccc2c(c1)CCCC2,c1ccc2c(c1)CCCC2,validation,148.205,2.271,20.23,2,-1.99
ESOL-0834,Benfluralin,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],c1ccccc1,validation,335.282,4.1482,89.52,1,-5.53
ESOL-0581,p-Hydroxybenzaldehyde,O=Cc1ccc(O)cc1,c1ccccc1,validation,122.123,1.2047,37.3,1,-0.96
ESOL-0892,Diphenylmethane,c1ccc(Cc2ccccc2)cc1,c1ccc(Cc2ccccc2)cc1,validation,168.239,3.2774,0.0,2,-4.08
ESOL-0757,Medrogestone,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,validation,340.507,5.2797,34.14,4,-5.27
ESOL-0934,Parathion,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,c1ccccc1,validation,291.265,3.2711,70.83,1,-4.66
ESOL-0502,"1,4-Dibromobenzene",Brc1ccc(Br)cc1,c1ccccc1,validation,235.906,3.2116,0.0,1,-4.07
ESOL-0247,Benzocaine,CCOC(=O)c1ccc(N)cc1,c1ccccc1,validation,165.192,1.4455,52.32,1,-2.616
ESOL-0124,m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,c1ccccc1,validation,139.11,1.3004,63.37,1,-1.01
ESOL-0085,"1,2-Diethylbenzene",CCc1ccccc1CC,c1ccccc1,validation,134.222,2.8114,0.0,1,-3.28
ESOL-1017,2-Chloroanisole,COc1ccccc1Cl,c1ccccc1,validation,142.585,2.3486,9.23,1,-2.46
ESOL-1018,Bromophos,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,c1ccccc1,validation,366.0,4.652,27.69,1,-6.09
ESOL-0025,Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],c1ccccc1,validation,322.243,2.9502,115.54,1,-5.47
ESOL-0044,menthol,CC1CCC(C(C)C)C(O)C1,C1CCCCC1,validation,156.269,2.4395,20.23,1,-2.53
ESOL-1090,Mefluidide,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,c1ccccc1,validation,310.297,2.5233,75.27,1,-3.24
ESOL-0067,Trietazine,CCNc1nc(Cl)nc(N(CC)CC)n1,c1ncncn1,blind,229.715,1.803,53.94,1,-4.06
ESOL-1015,Niridazole,O=C1NCCN1c1ncc([N+](=O)[O-])s1,O=C1NCCN1c1nccs1,blind,214.206,0.5809,88.37,2,-3.22
ESOL-0556,"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,blind,780.949,2.2181,203.06,8,-4.081
ESOL-0810,RTI 9,CCN1C(=O)c2ccccc2Oc2ccccc21,O=C1Nc2ccccc2Oc2ccccc21,blind,239.274,3.459,29.54,3,-3.68
ESOL-0740,Terbacil,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,O=c1cc[nH]c(=O)[nH]1,blind,216.668,1.2534,54.86,1,-2.484
ESOL-1011,Terbumeton,CCNc1nc(NC(C)(C)C)nc(OC)n1,c1ncncn1,blind,225.296,1.5224,71.96,1,-3.239
ESOL-0553,Danazol,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,blind,337.463,4.221,46.26,5,-5.507000000000001
ESOL-0679,meconin,COC1=C(OC)C2C(=O)OCC2C=C1,O=C1OCC2C=CC=CC12,blind,196.202,0.8498,44.76,2,-1.899
ESOL-0687,simazine,CCNc1nc(Cl)nc(NCC)n1,c1ncncn1,blind,201.661,1.3886,62.73,1,-4.55
ESOL-0165,RTI 3,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,O=C1Nc2ccccc2Oc2ncccc21,blind,255.277,2.3545,68.45,3,-3.043
ESOL-0559,Dibenzothiophene,c1ccc2c(c1)sc1ccccc12,c1ccc2c(c1)sc1ccccc12,blind,184.263,4.0545,0.0,3,-4.38
ESOL-0236,Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,c1ncncn1,blind,215.688,1.7771,62.73,1,-3.85
ESOL-0750,borneol,CC1(C)C2CCC1(C)C(O)C2,C1CC2CCC1C2,blind,154.253,2.1935,20.23,2,-2.32
ESOL-0402,Ethoxyzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,c1ccc2scnc2c1,blind,258.324,1.3424,82.28,2,-3.81
ESOL-0518,Fenoxycarb,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,c1ccc(Oc2ccccc2)cc1,blind,301.342,3.6038,56.79,2,-4.7
ESOL-0800,Chlordene,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,C1=CC2C3C=CC(C3)C2C1,blind,338.876,5.0242,0.0,3,-5.64
